time,open,high,low,close,High,Low,Mid,Untouched High,Untouched Low,Untouched Mid
2024-05-30T13:15:00+05:30,22576.4,22579,22518.55,22539.15,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,No Touch
2024-05-30T13:45:00+05:30,22538.65,22565.55,22521,22522.6,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,No Touch
2024-05-30T14:15:00+05:30,22523.05,22538.45,22459.15,22465.15,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,No Touch
2024-05-30T14:45:00+05:30,22464.65,22521.95,22417,22478.05,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,No Touch
2024-05-30T15:15:00+05:30,22477.9,22560.9,22477,22557.1,No Touch,Touch & Close Below,No Touch,No Touch,No Touch,No Touch
2024-05-31T09:15:00+05:30,22572,22653.75,22557.7,22635.8,No Touch,No Touch,Touch & Close Above,No Touch,No Touch,No Touch
2024-05-31T09:45:00+05:30,22634.85,22636.65,22533.7,22537.35,No Touch,No Touch,Touch & Close Below,No Touch,No Touch,No Touch
2024-05-31T10:15:00+05:30,22535.2,22587.3,22516.25,22533.8,No Touch,No Touch,Touch & Close Below,No Touch,No Touch,No Touch
2024-05-31T10:45:00+05:30,22532.8,22554,22495.85,22528.7,No Touch,No Touch,No Touch,No Touch,No Touch,No Touch
2024-05-31T11:15:00+05:30,22530.6,22560.55,22506.25,22553.9,No Touch,No Touch,No Touch,No Touch,No Touch,No Touch
2024-05-31T11:45:00+05:30,22553.95,22556.15,22500.55,22513.25,No Touch,No Touch,No Touch,No Touch,No Touch,No Touch
2024-05-31T12:15:00+05:30,22513.05,22531.9,22504.1,22519.2,No Touch,No Touch,No Touch,No Touch,No Touch,No Touch
2024-05-31T12:45:00+05:30,22518,22550.5,22509.4,22536.65,No Touch,No Touch,No Touch,No Touch,No Touch,No Touch
2024-05-31T13:15:00+05:30,22535.35,22575.5,22531.65,22573.85,No Touch,No Touch,Touch & Close Above,No Touch,No Touch,No Touch
2024-05-31T13:45:00+05:30,22570.4,22631.4,22569.2,22606.7,No Touch,No Touch,No Touch,No Touch,No Touch,No Touch
2024-05-31T14:15:00+05:30,22605.6,22609.2,22472.5,22506.95,No Touch,No Touch,Touch & Close Below,No Touch,No Touch,No Touch
